,prompt,label,word_count
0,graça,0,1
1,nachbarschaft,0,1
2,post punk rules,0,3
3,blue,0,1
4,blue bucket rebirth,0,3
5,four,0,1
6,raí saia rodada saia paradise áudio dvd,0,7
7,mahakali,0,1
8,intimeeda sukka podise,0,3
9,desisto nunca,0,2
10,know,0,1
11,next okay lofi,0,3
12,titãs icollection,0,2
13,red chilli,0,2
14,struggle,0,1
15,decals,0,1
16,nobody,0,1
17,drive away,0,2
18,si tengo mi madre,0,4
19,matriz,0,1
20,rocky iv,0,2
21,badal pe paon hai,0,4
22,american beautyamerican psycho,0,3
23,jeito que nóis gosta 2,0,5
24,vale vale,0,2
25,acústico,0,1
26,train,0,1
27,light year,0,2
28,battleground,0,1
29,es poderoso,0,2
30,lycklig igen,0,2
31,ticket ride remastered 2009,0,4
32,love heart,0,2
33,chegou quem faltava versão chorão,0,5
34,waves sleep,0,2
35,river runs red,0,3
36,male e bene,0,3
37,ostras feridas,0,2
38,xxx,0,1
39,reconstrução,0,1
40,até transbordar,0,2
41,asalto navideño vol 1 2,0,5
42,linka důvěry,0,2
43,всё было так,0,3
44,favourite worst nightmare,0,3
45,oscuro,0,1
46,prem baura,0,2
47,explosão de poder,0,3
48,salgo,0,1
49,virgen,0,1
50,burning heart rocky iv soundtrack,0,5
51,roupacústico 2,0,2
52,get layd,0,2
53,roteiro pra aïnouz,0,3
54,us,0,1
55,best fuck rest original mix,0,5
56,segundafeira,0,1
57,habibi,0,1
58,inventor dos amores,0,3
59,antichrist superstar,0,2
60,greatest hits,0,2
61,pinkfong best kids songs,0,4
62,alto preço,0,2
63,ponto,0,1
64,hard days night,0,3
65,estilo capa loka,0,3
66,atrangi,0,1
67,moon back,0,2
68,el ritual de la banana los pericos,0,7
69,best friend,0,2
70,nêga jurema,0,2
71,小時候的我們,0,1
72,enna vilai azhage,0,3
73,dark connection,0,2
74,無眠,0,1
75,jaat da muqabala,0,3
76,live bells,0,2
77,yellow paper daisy,0,3
78,elegia,0,1
79,najlepších 15 rockov,0,3
80,need,0,1
81,tadipaar,0,1
82,heiress,0,1
83,planeta de cores ao vivo,0,5
84,african giant,0,2
85,turma pagode xv anos,0,4
86,unholy hymns,0,2
87,get high,0,2
88,vintage collections,0,2
89,singles,0,1
90,reverence,0,1
91,revival,0,1
92,無人知曉,0,1
93,fotos antigas,0,2
94,go distance,0,2
95,heat waves,0,2
96,vai ficar na saudade,0,4
97,das repúblicas para brasil,0,4
98,pink,0,1
99,skinny dip feat philip strand,0,5
100,deus é mais,0,3
101,guayacán pasodobles,0,2
102,nights,0,1
103,ハッピーエンドへの期待は,0,1
104,lebenslang hbz remix,0,3
105,momentos,0,1
106,f ex,0,2
107,unexpected,0,1
108,potrei,0,1
109,bonanza,0,1
110,personal angel,0,2
111,monster frozen broadway musical,0,4
112,back time vip,0,3
113,oceanic waves,0,2
114,graveyard acoustic,0,2
115,misspoken,0,1
116,mecury rising,0,2
117,buddhu sa mann,0,3
118,thrill,0,1
119,violence unimagined,0,2
120,preguntas si te amé,0,4
121,générique de fin,0,3
122,fading wind,0,2
123,kadhal aasai,0,2
124,strongholds,0,1
125,clearly,0,1
126,brain ska,0,2
127,youth,0,1
128,azonto,0,1
129,casa,0,1
130,lp,0,1
131,like boss,0,2
132,zetsubou billy,0,2
133,loom sunrise session ii,0,4
134,baby bumblebee,0,2
135,el error,0,2
136,jolly llb 2,0,3
137,som amor,0,2
138,tu és fonte,0,3
139,sleeping left,0,2
140,penny dreadful seasons 2 3,0,5
141,50 silly songs,0,3
142,streets,0,1
143,un tributo,0,2
144,east bound,0,2
145,uy scuti,0,2
146,nothing happens,0,2
147,hayat öpücüğü,0,2
148,ascension,0,1
149,apelogies,0,1
150,el ultimo ataque,0,3
151,sereníssima ao vivo em são paulo 1999,0,7
152,lightning,0,1
153,bir garip aşk bestesi,0,4
154,crystalline,0,1
155,lofi songs,0,2
156,soothing running water,0,3
157,turn lights,0,2
158,take good care baby,0,4
159,sonho de amor ao vivo,0,5
160,enna sona,0,2
161,escola proibida,0,2
162,mezzanine,0,1
163,minha fama de mau ao vivo,0,6
164,daydreaming,0,1
165,jhanjharia male version,0,3
166,frozen planet ii,0,3
167,living,0,1
168,locura,0,1
169,esperando,0,1
170,nenhuma condenação há,0,3
171,quarterback,0,1
172,black parade,0,2
173,runs,0,1
174,sinto falta de você,0,4
175,dont give,0,2
176,queremos deus,0,2
177,burn ships,0,2
178,caixa magica,0,2
179,mensagem antiga,0,2
180,sangrando,0,1
181,城市,0,1
182,el amor es triste love blue,0,6
183,espírito de adorador,0,3
184,midify 019,0,2
185,guitar instrumental covers,0,3
186,scooter vandi,0,2
187,take home,0,2
188,sobran los momentos,0,3
189,bow,0,1
190,móðir og barn,0,3
191,momentary sixth sense,0,3
192,alone kyoto,0,2
193,demon speeding,0,2
194,floating,0,1
195,wont,0,1
196,ハルカ,0,1
197,regrets,0,1
198,ao vivo em goiânia,0,4
199,gecenin sonuna yolculuk,0,3
200,dont look back,0,3
201,nostalgia,0,1
202,bap u,0,2
203,ahaunting gogo,0,2
204,double take,0,2
205,bonebreaker,0,1
206,ami je tomar bhool bhulaiyaa 2,0,6
207,like boss,0,2
208,dhindora,0,1
209,¿,0,1
210,side effect,0,2
211,relaxing piano,0,2
212,sandpaper kisses,0,2
213,children decadence,0,2
214,tui ki kore dili,0,4
215,aire,0,1
216,days week,0,2
217,youve lost lovin feelin,0,4
218,welcome back devil,0,3
219,kiralık aşk,0,2
220,música e palavra,0,3
221,falando segredo,0,2
222,kongen av campen,0,3
223,mãe,0,1
224,zero,0,1
225,define,0,1
226,倒數,0,1
227,asia,0,1
228,vingança amor,0,2
229,七友,0,1
230,raga neelambari,0,2
231,worlds fire,0,2
232,la familia b sides,0,4
233,paz e amor,0,3
234,sweet dream,0,2
235,revelations,0,1
236,brilho olhar agora viu que perdeu e chora retrato cantado de um amor ao vivo,0,15
237,retalhos de cetim ao vivo,0,5
238,thousand islands,0,2
239,complete hank williams,0,3
240,pale emperor,0,2
241,well soul live,0,3
242,mississippi,0,1
243,feuerfalter special edition,0,3
244,rumble,0,1
245,cabaré,0,1
246,indahnya dunia,0,2
247,rasta svinet,0,2
248,lethargy,0,1
249,death love,0,2
250,otras canciones,0,2
251,heart full praise,0,3
252,always,0,1
253,call mystic,0,2
254,ando que lleva,0,3
255,insomnia,0,1
256,division,0,1
257,frozen planet,0,2
258,glee music complete season three,0,5
259,deepavali,0,1
260,best tubest time best,0,4
261,second chance,0,2
262,passion live,0,2
263,hopeless,0,1
264,satisfya,0,1
265,hasi female version,0,3
266,alors danse radio edit,0,4
267,aceito teu chamado,0,3
268,eixta muresta,0,2
269,afternoon jazz,0,2
270,chala head chala,0,3
271,loving like always rodriguez jr remix,0,6
272,pch,0,1
273,perfect,0,1
274,loft sessions,0,2
275,zara zara lofi,0,3
276,eason air,0,2
277,6 days,0,2
278,thanks asking,0,2
279,hey delilah,0,2
280,transformations,0,1
281,novo show 2021,0,3
282,lawine song,0,2
283,reach sky,0,2
284,war 4th album,0,3
285,wanted,0,1
286,humans far remix,0,3
287,wont,0,1
288,pura vida,0,2
289,jubal,0,1
290,te vejo lá,0,3
291,takeaway pilton remix,0,3
292,7 milliards et des poussières,0,5
293,brenda lee,0,2
294,mato seco resistência,0,3
295,ölümsüzler vol 3,0,3
296,coldplay babies,0,2
297,metamorph,0,1
298,unforgiving,0,1
299,barulhinho bom,0,2
300,peppas adventures album,0,3
301,psalms vol 2,0,3
302,illusion,0,1
303,matriz,0,1
304,mimetismo,0,1
305,ay haiti,0,2
306,bedroom classics volume 3 digital version,0,6
307,hit road jack,0,3
308,mirror man,0,2
309,historia discografía completa,0,3
310,run,0,1
311,know,0,1
312,morning glory remastered,0,3
313,sofrendo ao quadrado ao vivo em goiânia 2019,0,8
314,cosa de hombres,0,3
315,megacorp,0,1
316,know,0,1
317,closer,0,1
318,group therapy abgt499d3,0,3
319,demons,0,1
320,我是誰,0,1
321,laser,0,1
322,end road,0,2
323,bara bara,0,2
324,schöne neue extrawelt,0,3
325,ragini mms 2,0,3
326,linda demais,0,2
327,ranjha,0,1
